TIMESTAMPms	M100VFRHUDalt
807146	23.0635
807732	23.0635
808189	23.0635
808727	23.0635
809750	23.0635
810144	23.0635
810692	23.0635
811180	23.0635
811747	23.0635
812287	23.0635
812795	23.0635
813304	23.0635
813649	23.0635
814157	23.0635
815211	23.0635
817135	23.0635
821121	23.0635
822115	23.0635
823122	23.0635
824117	23.0635
827152	23.0635
827635	23.0635
828697	23.0635
829794	23.0635
832107	23.0635
833158	23.0635
833730	23.0635
834241	23.0635
834642	23.0635
835201	23.0635
835750	23.0635
836708	23.0635
837671	23.0635
838220	23.0635
838709	23.0635
839651	23.0635
840327	23.0635
840660	23.0635
841164	16.3034
841698	13.0568
842170	11.9569
842718	nan
843306	nan
843635	nan
844153	nan
844688	nan
845228	nan
845668	nan
846173	nan
846678	nan
847217	nan
847719	nan
848269	nan
848769	nan
849227	nan
849732	nan
850127	nan
850629	nan
851182	nan
851719	nan
852253	nan
852807	nan
853139	nan
853675	nan
854284	nan
854628	nan
855145	nan
855708	nan
856192	nan
856664	nan
857200	nan
857720	nan
858204	nan
858769	nan
859160	nan
859629	nan
860208	nan
860740	nan
861303	nan
861647	nan
862197	nan
862731	nan
863281	nan
863659	nan
864207	nan
864740	nan
865240	nan
865790	nan
866122	nan
866671	nan
867204	nan
867628	nan
868152	nan
868688	nan
869235	nan
869643	nan
870127	nan
870695	nan
871232	nan
871768	nan
872254	nan
872661	nan
873244	nan
873780	nan
874130	nan
874762	nan
875138	nan
875688	nan
876237	nan
876773	nan
877104	nan
877651	nan
878249	nan
878796	nan
879126	nan
879674	nan
880222	nan
880769	nan
881165	nan
881759	nan
882157	nan
882707	nan
883272	nan
883787	nan
884178	nan
884714	nan
885278	nan
885779	nan
886327	nan
886660	nan
887212	nan
887747	nan
888297	nan
888687	nan
889172	nan
889721	nan
890222	nan
890723	nan
891321	nan
891649	nan
892183	nan
892699	nan
893188	nan
893737	nan
894132	nan
894680	nan
895180	nan
895696	nan
896229	nan
896779	nan
897267	nan
897785	nan
898134	nan
898684	nan
899156	nan
899672	nan
900175	nan
900725	nan
901272	nan
901759	nan
902120	nan
902670	nan
903190	nan
903690	nan
904237	nan
904644	nan
905253	nan
905693	nan
906210	nan
906637	nan
907185	nan
907722	nan
908273	nan
908637	nan
909217	nan
909748	nan
910248	nan
910704	nan
911300	nan
911644	nan
912148	nan
912664	nan
913195	nan
913697	nan
914197	nan
914744	nan
915291	nan
915619	nan
916122	nan
916669	nan
917205	nan
917706	nan
918222	nan
918770	nan
919161	nan
919661	nan
920209	nan
920742	nan
921294	nan
921799	nan
922127	nan
